opening_gross,screens,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
2451.0,10.0,12000000,14616,2015.0,1.85,111.0,2059,12000000.0,7.5
8330681.0,2271.0,13000000,60414025,1999.0,1.85,97.0,37907,16000000.0,7.2
19883351.0,2704.0,85000000,66941559,2000.0,1.85,100.0,4182,85000000.0,4.8
5329240.0,2331.0,20000000,17306648,2009.0,2.35,108.0,2799,22000000.0,5.6
923715.0,19.0,20000000,181025343,2013.0,2.35,134.0,4251,20000000.0,8.1
264851.0,4.0,18000000,60217171,2010.0,1.85,94.0,11984,18000000.0,7.6
21054238.0,3438.0,30000000,96439723,2004.0,1.85,98.0,6742,37000000.0,6.1
20617667.0,2678.0,22500000,131263370,2007.0,2.35,114.0,214,25000000.0,6.8
10523154.0,2337.0,42000000,56331864,2001.0,2.35,120.0,33585,42000000.0,6.1
11855260.0,2706.0,45000000,65595141,2006.0,2.35,102.0,15053,52000000.0,6.6
23722310.0,3255.0,40000000,139474906,2009.0,2.35,102.0,7009,20000000.0,6.4
27059130.0,3025.0,61000000,132493015,2013.0,2.35,109.0,20148,61000000.0,6.7
65237614.0,3404.0,200000000,788408539,2009.0,2.35,158.0,2144,200000000.0,5.8
113074.0,4.0,12000000,19287485,2004.0,2.35,129.0,2378,12000000.0,7.5
8754168.0,2771.0,13000000,42195766,2013.0,2.35,93.0,2730,13000000.0,5.9
274454.0,8.0,20000000,59667625,2003.0,1.85,124.0,7567,20000000.0,7.7
36302612.0,3121.0,42000000,202812429,2012.0,2.35,109.0,19968,42000000.0,7.2
24105943.0,2648.0,35000000,157852532,2008.0,2.35,123.0,25661,35000000.0,6.8
57071445.0,3306.0,50000000,331333876,2014.0,2.35,112.0,19428,50000000.0,7.1
27442040.0,3057.0,30000000,160247805,2008.0,2.35,111.0,2978,30000000.0,6.1
10310672.0,2523.0,43000000,62063972,2000.0,1.37,103.0,23864,43000000.0,6.0
9807292.0,2303.0,15000000,64232714,2007.0,1.85,100.0,11471,15000000.0,7.0
12242218.0,2872.0,28000000,38959900,2014.0,2.35,123.0,1286,28000000.0,6.2
14035033.0,2652.0,48000000,71171825,2007.0,2.35,122.0,33548,55000000.0,7.8
15951902.0,2855.0,30000000,80276156,2007.0,2.35,113.0,814,32000000.0,6.6
13330118.0,2888.0,28000000,40966716,2011.0,2.35,83.0,1987,28000000.0,6.1
45038460.0,3470.0,110000000,330780051,2014.0,2.35,102.0,10583,110000000.0,6.2
7160521.0,2545.0,62000000,18708848,2001.0,2.35,125.0,14536,42000000.0,5.9
70885301.0,,60000000,454161935,2006.0,2.35,117.0,32360,65000000.0,7.7
12229529.0,2225.0,17000000,95092667,2002.0,1.85,96.0,3294,17000000.0,5.6
27487144.0,3003.0,40000000,97470701,2013.0,2.35,128.0,16911,40000000.0,7.5
9869000.0,2689.0,175000000,151659062,2013.0,2.35,128.0,20965,175000000.0,6.3
6254.0,2.0,12000000,87793,2011.0,2.35,113.0,708,20000000.0,5.6
45107871.0,3591.0,75000000,196324496,2004.0,2.35,99.0,12952,75000000.0,6.8
6611532.0,1859.0,13000000,16757163,1998.0,1.85,121.0,6910,13000000.0,5.8
51240555.0,2470.0,41000000,245769202,2002.0,2.35,110.0,1954,41000000.0,7.0
6957216.0,2168.0,30000000,32955399,2007.0,2.35,108.0,16722,30000000.0,5.9
14252888.0,2370.0,40000000,96398826,1999.0,2.35,123.0,12970,40000000.0,6.5
10740446.0,1661.0,30000000,48559999,2009.0,1.85,79.0,1594,30000000.0,7.1
2501096.0,524.0,78000000,317668058,2001.0,1.85,135.0,2827,58000000.0,8.2
33258052.0,2686.0,45000000,363095319,1998.0,2.35,95.0,24205,120000000.0,7.2
30051075.0,3683.0,190000000,315709697,2009.0,2.35,96.0,48878,200000000.0,6.8
13623350.0,2625.0,19000000,70164105,2004.0,1.85,95.0,3092,20000000.0,5.9
15163484.0,1802.0,60000000,56709981,1998.0,2.35,115.0,4713,60000000.0,6.5
167953.0,4.0,20000000,14807531,2011.0,1.85,99.0,23755,15000000.0,6.5
24834845.0,3553.0,92000000,304249198,2013.0,1.85,101.0,15481,92000000.0,5.3
3721526.0,2066.0,35000000,42064105,2006.0,2.35,117.0,3611,35000000.0,6.9
8006232.0,2515.0,20000000,17430594,2003.0,1.85,101.0,2698,20000000.0,5.6
515992.0,14.0,32000000,61477797,2005.0,1.85,96.0,12754,32000000.0,7.5
16511391.0,2980.0,41000000,100622586,2001.0,2.35,144.0,18761,65000000.0,6.9
7576593.0,2502.0,25000000,47835784,2005.0,1.85,107.0,1095,30000000.0,6.6
16000000.0,2194.0,25000000,52543354,2013.0,1.85,100.0,3202,25000000.0,4.7
11019224.0,2459.0,36000000,43797731,2003.0,2.35,109.0,16611,36000000.0,6.1
3948863.0,1355.0,15000000,19153568,2007.0,2.35,108.0,12178,16000000.0,6.7
17069000.0,3158.0,40000000,86760995,2014.0,2.35,136.0,28927,40000000.0,6.1
1512224.0,818.0,20000000,6071433,2014.0,2.35,125.0,3979,20000000.0,7.0
2717000.0,361.0,15000000,36068890,2014.0,2.35,122.0,22574,15000000.0,6.8
9604791.0,1865.0,17000000,30331165,1998.0,1.85,82.0,9271,17000000.0,6.2
5948555.0,2159.0,14000000,22815460,2009.0,2.35,108.0,41359,14000000.0,6.5
391672.0,,20000000,7405084,2006.0,1.85,100.0,39507,8700000.0,7.1
3422072.0,660.0,17000000,16316273,1998.0,1.85,121.0,2365,17000000.0,7.5
2732880.0,1676.0,28000000,8165213,1997.0,1.85,89.0,5535,28000000.0,5.4
1190791.0,816.0,80000000,6300451,2005.0,2.35,102.0,1890,52000000.0,4.2
6176280.0,1890.0,40000000,20790486,2012.0,2.35,91.0,222,40000000.0,5.9
19630000.0,2123.0,40000000,152266007,1996.0,2.35,149.0,31349,40000000.0,7.4
12954142.0,2875.0,20000000,36265745,2011.0,2.35,90.0,2462,19000000.0,6.3
101749.0,4.0,55000000,69759296,2004.0,2.35,133.0,405,47000000.0,7.7
12758780.0,2712.0,28000000,62108587,2014.0,2.35,114.0,15428,28000000.0,6.5
78709.0,7.0,14000000,4741987,1999.0,1.85,107.0,10368,14000000.0,6.6
12177488.0,2411.0,11000000,46060915,2002.0,2.35,101.0,2436,11000000.0,7.4
29352630.0,3242.0,90000000,235900000,2001.0,1.85,146.0,6217,100000000.0,7.1
5064077.0,2341.0,25000000,12219367,2002.0,2.35,99.0,28987,25000000.0,4.9
10925253.0,3118.0,35000000,86648359,2011.0,2.35,106.0,561,35000000.0,5.0
8557630.0,1207.0,27000000,130759651,2002.0,2.35,101.0,74,30000000.0,7.1
27838201.0,2253.0,13000000,50445860,2014.0,2.35,100.0,2800,12500000.0,6.1
282367.0,6.0,30000000,107054484,2002.0,1.85,125.0,1556,30000000.0,7.2
1076250.0,175.0,12000000,89177486,2013.0,2.35,123.0,1595,12000000.0,7.8
16306974.0,3108.0,67500000,137489730,2012.0,2.35,105.0,8281,69000000.0,5.9
16770220.0,2568.0,50000000,50068310,1997.0,2.35,121.0,19139,50000000.0,6.7
3824988.0,954.0,45000000,29367143,2007.0,2.35,133.0,5405,45000000.0,7.4
3824988.0,954.0,45000000,29367143,2007.0,2.35,133.0,5405,45000000.0,7.4
10121.0,12.0,12000000,82497035,2012.0,2.35,110.0,146,12000000.0,6.5
384478.0,7.0,18500000,22498520,2002.0,1.85,81.0,25489,19000000.0,7.7
6154984.0,2160.0,13000000,18733666,2013.0,2.35,107.0,3004,13000000.0,5.7
27520040.0,3401.0,130000000,251499665,2013.0,2.35,100.0,14168,130000000.0,4.9
11100392.0,2819.0,57000000,38329114,2004.0,2.35,97.0,9814,58000000.0,6.3
3038546.0,1601.0,39000000,6429865,2004.0,2.35,110.0,2972,39000000.0,5.3
8014005.0,2973.0,26000000,28703083,2004.0,2.35,100.0,3742,26000000.0,4.5
14064317.0,3369.0,25000000,58240458,2003.0,2.35,102.0,3037,26000000.0,5.0
37132505.0,2919.0,85000000,315268353,1997.0,2.35,124.0,23603,85000000.0,6.4
6111074.0,2310.0,30000000,15358583,2003.0,1.85,96.0,977,30000000.0,5.6
11396768.0,2339.0,35000000,35426759,2012.0,2.35,101.0,2471,35000000.0,5.1
215177.0,221.0,40000000,20722450,2006.0,2.35,93.0,15638,40000000.0,5.1
18360230.0,3088.0,28000000,101379287,2014.0,2.39,81.0,47677,28000000.0,6.2
13687087.0,2445.0,155000000,167297191,2004.0,2.35,206.0,24598,155000000.0,5.5
6218335.0,2215.0,40000000,35195939,2004.0,1.85,103.0,3639,60000000.0,6.2
28112000.0,3763.0,170000000,277279693,2016.0,1.85,113.0,80806,170000000.0,6.4
16474092.0,2415.0,60000000,160700000,1997.0,2.35,116.0,3090,75000000.0,6.3
8008423.0,3106.0,45000000,59551283,2009.0,1.85,86.0,3423,45000000.0,5.4
13655306.0,2611.0,40000000,128884494,2007.0,2.35,102.0,4324,40000000.0,4.7
10216625.0,2446.0,109000000,87683966,2001.0,2.35,165.0,14196,107000000.0,6.8
14058106.0,2251.0,15000000,40127259,2009.0,1.85,99.0,16461,15000000.0,4.8
10007291.0,1505.0,14000000,25873145,2002.0,2.35,95.0,1421,14000000.0,5.7
37172.0,2.0,20000000,873617,2010.0,1.85,101.0,39515,,6.3
3672366.0,1514.0,55000000,9521458,2006.0,1.85,128.0,27614,55000000.0,6.2
4860556.0,1548.0,45000000,18120267,2000.0,2.35,220.0,15006,57000000.0,5.8
15026.0,17.0,15000000,22723,2001.0,2.35,105.0,1732,25000000.0,4.5
2314646.0,131.0,60000000,47371191,2000.0,1.85,152.0,36897,60000000.0,7.9
9670235.0,2815.0,37000000,24935799,2015.0,1.85,105.0,44037,37000000.0,5.4
9670235.0,2815.0,37000000,24935799,2015.0,1.85,105.0,44037,37000000.0,5.4
2834421.0,2124.0,20000000,8178569,2005.0,2.35,94.0,838,20000000.0,2.3
16712407.0,2530.0,28000000,105159085,2001.0,2.35,104.0,17109,60000000.0,6.3
32450825.0,2984.0,42000000,173044410,2004.0,1.85,90.0,24534,42000000.0,5.9
9106906.0,2625.0,20000000,48958353,2010.0,1.85,90.0,2486,20000000.0,5.3
23244744.0,3723.0,80000000,349088523,2011.0,1.85,87.0,4073,75000000.0,4.4
14287159.0,3653.0,90000000,235296080,2015.0,1.85,92.0,38450,90000000.0,5.0
48875415.0,3700.0,70000000,443483213,2009.0,1.85,88.0,5227,75000000.0,4.5
44307417.0,3475.0,55000000,362605033,2007.0,1.85,92.0,2847,60000000.0,5.2
16284.0,5.0,14000000,274299,2002.0,1.85,132.0,1429,103000000.0,7.3
30181877.0,3011.0,46000000,160648493,2001.0,2.35,102.0,9176,48000000.0,5.7
861531.0,16.0,15000000,356258047,1999.0,2.35,122.0,19078,15000000.0,8.4
3667420.0,1500.0,17000000,16510971,2006.0,1.85,107.0,5992,19000000.0,5.5
43565135.0,3054.0,100000000,267985456,2007.0,1.85,176.0,20354,100000000.0,7.8
740455.0,6.0,40000000,257878294,2013.0,2.35,138.0,83012,40000000.0,7.3
4855475.0,2348.0,35000000,13264986,2001.0,1.85,94.0,1668,35000000.0,6.0
45117985.0,3063.0,30000000,286500000,2001.0,1.85,108.0,7872,30000000.0,6.4
18709680.0,2508.0,12000000,234723148,1999.0,1.85,95.0,8134,11000000.0,7.0
21514080.0,3192.0,50000000,236799211,2012.0,1.85,113.0,8398,50000000.0,6.7
89269067.0,3555.0,58000000,547326372,2014.0,2.35,133.0,16277,58800000.0,7.3
33369440.0,3172.0,55000000,126425115,2003.0,2.35,74.0,5713,55000000.0,6.3
4661866.0,322.0,40000000,58250151,1997.0,1.85,155.0,37570,36000000.0,7.2
3656000.0,1639.0,20000000,7022183,2008.0,2.35,83.0,2907,12000000.0,4.3
5783508.0,1680.0,14000000,30443277,2005.0,2.35,91.0,1608,14000000.0,5.0
198802.0,,10700000,31341183,1999.0,1.85,97.0,2640,14000000.0,6.9
1008308.0,139.0,30000000,18535575,2005.0,2.35,108.0,11519,30000000.0,7.0
12812287.0,2905.0,25000000,70326393,2004.0,2.35,97.0,2730,25000000.0,4.6
16620887.0,2456.0,45000000,136998907,1997.0,2.35,89.0,3717,45000000.0,4.6
11034422.0,2635.0,60000000,54994757,2002.0,1.85,96.0,22889,60000000.0,5.9
18383507.0,2518.0,30000000,176885658,1999.0,1.85,103.0,24333,30000000.0,6.7
204350.0,200.0,53000000,139801410,1997.0,2.35,94.0,6017,50000000.0,7.1
26232425.0,3507.0,50000000,172185754,2013.0,2.35,143.0,28176,50000000.0,6.3
28416365.0,3091.0,25000000,89476265,2004.0,1.85,98.0,656730,26000000.0,7.2
4552000.0,1762.0,18000000,17360801,2014.0,2.35,94.0,1673,18000000.0,5.7
9225575.0,2375.0,38000000,29544532,2001.0,1.85,102.0,1440,38000000.0,5.6
54628.0,6.0,25000000,13038660,1999.0,1.85,145.0,1282,25000000.0,7.3
46204168.0,3527.0,150000000,490875846,2009.0,2.35,146.0,16948,150000000.0,6.7
5223416.0,2132.0,75000000,39251128,1999.0,2.35,148.0,804,75000000.0,6.7
320690.0,16.0,49000000,71004627,2012.0,2.35,129.0,2035,,6.6
15861939.0,3116.0,65000000,139840525,2014.0,2.39,118.0,4796,65000000.0,5.2
1012768.0,265.0,27500000,15815509,2011.0,2.35,130.0,2452,30000000.0,6.9
57225526.0,3856.0,130000000,518602163,2015.0,1.85,117.0,5730,130000000.0,7.4
5486209.0,2433.0,30000000,17865209,2001.0,2.35,109.0,1297,30000000.0,6.1
210013.0,15.0,12500000,23367586,2002.0,2.35,117.0,20456,12500000.0,7.3
17195160.0,2449.0,60000000,152457863,1998.0,1.85,83.0,25788,105000000.0,6.6
13584625.0,2505.0,60000000,100230832,1999.0,2.35,156.0,20761,55000000.0,6.8
1673125.0,1033.0,18000000,13203044,2003.0,2.35,108.0,14843,18000000.0,6.4
5607137.0,1672.0,23000000,18653615,1999.0,2.35,114.0,22040,23000000.0,6.1
15005604.0,,40000000,121032272,2006.0,1.85,139.0,848,40000000.0,7.8
248847.0,14.0,20000000,27911453,2008.0,2.35,115.0,10507,,6.8
211130.0,6.0,15500000,1693000,2002.0,1.66,115.0,699,,6.6
2002165.0,197.0,12000000,35830713,2012.0,1.85,107.0,2440,12000000.0,6.6
18575214.0,2709.0,20000000,98114471,2005.0,1.85,95.0,3558,32000000.0,4.6
19458109.0,3232.0,44500000,227140757,2012.0,2.35,130.0,3133,44500000.0,7.7
7515145.0,1631.0,21500000,24419219,1999.0,2.35,117.0,13576,21500000.0,7.2
36089972.0,3127.0,140000000,554600000,1998.0,2.35,153.0,26029,140000000.0,6.6
6511128.0,1915.0,20000000,23661038,2009.0,2.35,88.0,137712,27000000.0,5.7
12068931.0,3376.0,85000000,149717124,2011.0,1.85,97.0,2707,100000000.0,7.1
12606928.0,1572.0,50000000,314111923,1997.0,1.85,139.0,1474,50000000.0,7.7
6502724.0,2297.0,30000000,36040895,2005.0,2.35,109.0,3148,20000000.0,6.3
,,113500000,132999811,2008.0,2.35,116.0,1609,78000000.0,5.1
6702923.0,3014.0,65000000,41636243,2009.0,2.35,94.0,23365,65000000.0,6.3
8444321.0,1814.0,40000000,22365133,1999.0,1.85,128.0,3821,60000000.0,5.9
329011.0,2.0,90000000,186049020,2001.0,2.35,95.0,15237,120000000.0,6.8
11554404.0,,17000000,21170563,2006.0,2.35,105.0,1538,,6.0
796836.0,32.0,30000000,129779728,2007.0,1.85,123.0,20499,30000000.0,7.8
137580.0,8.0,13000000,6459183,2011.0,2.35,88.0,2011,13000000.0,6.6
9421369.0,2310.0,25000000,66015869,2007.0,2.35,114.0,50927,30000000.0,7.5
73071188.0,3613.0,63000000,292738626,2002.0,2.35,94.0,2725,63000000.0,6.2
9548111.0,2187.0,18000000,67683989,1997.0,2.35,68.0,10557,17000000.0,7.0
54917604.0,3312.0,35000000,310332636,1999.0,2.35,95.0,47203,33000000.0,6.6
14800723.0,2642.0,130000000,215080810,2008.0,2.35,165.0,921,130000000.0,6.6
10987006.0,2255.0,40000000,90717684,2000.0,1.85,103.0,26938,40000000.0,5.5
77025481.0,3452.0,425000000,2783918982,2009.0,1.78,178.0,4834,237000000.0,7.9
191271109.0,4276.0,250000000,1404705868,2015.0,2.35,141.0,92000,250000000.0,7.5
38291056.0,3395.0,70000000,172543519,2004.0,2.35,109.0,3222,60000000.0,5.6
130411.0,4.0,21000000,10108016,2009.0,2.35,98.0,1997,17000000.0,7.1
1405000.0,210.0,40000000,26738000,2015.0,1.85,159.0,554,18026148.0,8.4
6162640.0,2384.0,80000000,69131860,1998.0,1.85,97.0,2521,80000000.0,5.8
389351.0,7.0,20000000,132121212,2006.0,1.85,143.0,11248,25000000.0,7.5
8606403.0,1533.0,16000000,28734552,2001.0,1.85,130.0,3107,16000000.0,6.4
5613587.0,1689.0,13000000,27151490,1999.0,1.85,97.0,2936,18000000.0,2.5
17407110.0,2543.0,30000000,64170447,2008.0,1.85,99.0,6930,30000000.0,6.0
11541571.0,3390.0,45000000,70216497,2008.0,2.35,101.0,15990,70000000.0,5.6
46522560.0,3186.0,130000000,273271982,2003.0,2.35,147.0,12954,130000000.0,6.6
11007367.0,2944.0,70000000,69157016,2002.0,2.35,116.0,12993,70000000.0,5.6
245398.0,27.0,25000000,12413949,2009.0,1.85,122.0,13809,20000000.0,6.7
23817340.0,3215.0,20000000,60961307,2016.0,,100.0,18786,20000000.0,6.7
23817340.0,3215.0,20000000,60961307,2016.0,,100.0,18786,20000000.0,6.7
12292952.0,2005.0,18000000,77147031,2003.0,1.85,98.0,3151,18000000.0,7.1
31603106.0,3049.0,19000000,215448997,2011.0,1.85,97.0,5547,20000000.0,5.7
,,35000000,15471969,2012.0,1.85,93.0,1361,30000000.0,5.2
7010474.0,2705.0,70000000,14294842,2002.0,2.35,91.0,1846,70000000.0,3.6
13050700.0,3207.0,75000000,71523271,2001.0,2.35,123.0,13934,80000000.0,6.6
2231273.0,2121.0,20000000,12967829,2009.0,2.35,111.0,1573,20000000.0,6.4
7783266.0,2650.0,45000000,46598133,2008.0,1.85,99.0,12166,40000000.0,5.4
24241612.0,2711.0,18000000,65842412,2004.0,1.85,106.0,3956,18000000.0,5.7
20627433.0,1605.0,12000000,77063461,2002.0,1.85,102.0,2754,12000000.0,6.3
2585292.0,540.0,15000000,11156471,1998.0,1.85,76.0,1139,15000000.0,2.8
65241.0,4.0,30000000,8845575,2010.0,2.35,134.0,1873,,7.3
3201420.0,,70000000,35417162,2006.0,2.35,116.0,1899,70000000.0,4.2
11511960.0,2876.0,50000000,42598498,2003.0,2.35,98.0,3357,50000000.0,6.5
42872606.0,2934.0,125000000,238317814,1997.0,1.85,125.0,2699,125000000.0,3.7
48745440.0,3858.0,150000000,359142722,2005.0,2.35,128.0,59558,150000000.0,8.3
166007347.0,4242.0,250000000,868160194,2016.0,2.35,183.0,24450,250000000.0,6.9
37573187.0,3417.0,70000000,213463976,2011.0,2.35,116.0,4001,70000000.0,5.8
4603177.0,2008.0,20000000,16723377,2013.0,1.85,110.0,3177,20000000.0,5.0
25534825.0,3690.0,209000000,305218228,2012.0,2.35,131.0,26679,209000000.0,5.9
23450212.0,3216.0,75000000,94944017,2005.0,2.4,118.0,15889,53000000.0,5.7
