title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score,gross,movie_title
2009.0,1.78,178.0,4834,237000000.0,7.9,760505847.0,Avatar 
2007.0,2.35,169.0,48350,300000000.0,7.1,309404152.0,Pirates of the Caribbean: At World's End 
2015.0,2.35,148.0,11700,245000000.0,6.8,200074175.0,Spectre 
2012.0,2.35,164.0,106759,250000000.0,8.5,448130642.0,The Dark Knight Rises 
,,,143,,7.1,,Star Wars: Episode VII - The Force Awakens             
2012.0,2.35,132.0,1873,263700000.0,6.6,73058679.0,John Carter 
2007.0,2.35,156.0,46055,258000000.0,6.2,336530303.0,Spider-Man 3 
2010.0,1.85,100.0,2036,260000000.0,7.8,200807262.0,Tangled 
2015.0,2.35,141.0,92000,250000000.0,7.5,458991599.0,Avengers: Age of Ultron 
2009.0,2.35,153.0,58753,250000000.0,7.5,301956980.0,Harry Potter and the Half-Blood Prince 
2016.0,2.35,183.0,24450,250000000.0,6.9,330249062.0,Batman v Superman: Dawn of Justice 
2006.0,2.35,169.0,29991,209000000.0,6.1,200069408.0,Superman Returns 
2008.0,2.35,106.0,2023,200000000.0,6.7,168368427.0,Quantum of Solace 
2006.0,2.35,151.0,48486,225000000.0,7.3,423032628.0,Pirates of the Caribbean: Dead Man's Chest 
2013.0,2.35,150.0,45757,215000000.0,6.5,89289910.0,The Lone Ranger 
2013.0,2.35,143.0,20495,225000000.0,7.2,291021565.0,Man of Steel 
2008.0,2.35,150.0,22697,225000000.0,6.6,141614023.0,The Chronicles of Narnia: Prince Caspian 
2012.0,1.85,173.0,87697,220000000.0,8.1,623279547.0,The Avengers 
2011.0,2.35,136.0,54083,250000000.0,6.7,241063875.0,Pirates of the Caribbean: On Stranger Tides 
2012.0,1.85,106.0,12572,225000000.0,6.8,179020854.0,Men in Black 3 
2014.0,2.35,164.0,9152,250000000.0,7.5,255108370.0,The Hobbit: The Battle of the Five Armies 
2012.0,2.35,153.0,28489,230000000.0,7.0,262030663.0,The Amazing Spider-Man 
2010.0,2.35,156.0,3244,200000000.0,6.7,105219735.0,Robin Hood 
2013.0,2.35,186.0,9152,225000000.0,7.9,258355354.0,The Hobbit: The Desolation of Smaug 
2007.0,2.35,113.0,24106,180000000.0,6.1,70083519.0,The Golden Compass 
2005.0,2.35,201.0,7123,207000000.0,7.2,218051260.0,King Kong 
1997.0,2.35,194.0,45223,200000000.0,7.7,658672302.0,Titanic 
2016.0,2.35,147.0,64798,250000000.0,8.2,407197282.0,Captain America: Civil War 
2012.0,2.35,131.0,26679,209000000.0,5.9,65173160.0,Battleship 
2015.0,2.0,124.0,8458,150000000.0,7.0,652177271.0,Jurassic World 
2012.0,2.35,143.0,2039,200000000.0,7.8,304360277.0,Skyfall 
2004.0,2.35,135.0,43388,200000000.0,7.3,373377893.0,Spider-Man 2 
2013.0,2.35,195.0,30426,200000000.0,7.2,408992272.0,Iron Man 3 
2010.0,1.85,108.0,79957,200000000.0,6.5,334185206.0,Alice in Wonderland 
2006.0,2.35,104.0,21714,210000000.0,6.8,234360014.0,X-Men: The Last Stand 
2013.0,1.85,104.0,14863,200000000.0,7.3,268488329.0,Monsters University 
2009.0,2.35,150.0,3218,200000000.0,6.0,402076689.0,Transformers: Revenge of the Fallen 
2014.0,2.35,165.0,3988,210000000.0,5.7,245428137.0,Transformers: Age of Extinction 
2013.0,2.35,130.0,73441,215000000.0,6.4,234903076.0,Oz the Great and Powerful 
2014.0,2.35,142.0,28631,200000000.0,6.7,202853933.0,The Amazing Spider-Man 2 
2010.0,2.35,125.0,25550,170000000.0,6.8,172051787.0,TRON: Legacy 
2011.0,2.35,106.0,4482,200000000.0,6.3,191450875.0,Cars 2 
2011.0,2.35,123.0,17657,200000000.0,5.6,116593191.0,Green Lantern 
2010.0,1.85,103.0,19085,200000000.0,8.3,414984497.0,Toy Story 3 
2009.0,2.35,118.0,27468,200000000.0,6.6,125320003.0,Terminator Salvation 
