movie_title,opening_gross,screens
10 Days in a Madhouse ,2451.0,10.0
10 Things I Hate About You ,8330681.0,2271.0
102 Dalmatians ,19883351.0,2704.0
12 Rounds ,5329240.0,2331.0
12 Years a Slave ,923715.0,19.0
127 Hours ,264851.0,4.0
13 Going on 30 ,21054238.0,3438.0
1408 ,20617667.0,2678.0
15 Minutes ,10523154.0,2337.0
16 Blocks ,11855260.0,2706.0
17 Again ,23722310.0,3255.0
2 Guns ,27059130.0,3025.0
2012 ,65237614.0,3404.0
2046 ,113074.0,4.0
21 & Over ,8754168.0,2771.0
21 Grams ,274454.0,8.0
21 Jump Street ,36302612.0,3121.0
21 ,24105943.0,2648.0
22 Jump Street ,57071445.0,3306.0
27 Dresses ,27442040.0,3057.0
28 Days ,10310672.0,2523.0
28 Weeks Later ,9807292.0,2303.0
3 Days to Kill ,12242218.0,2872.0
3:10 to Yuma ,14035033.0,2652.0
30 Days of Night ,15951902.0,2855.0
30 Minutes or Less ,13330118.0,2888.0
300: Rise of an Empire ,45038460.0,3470.0
3000 Miles to Graceland ,7160521.0,2545.0
300 ,70885301.0,
40 Days and 40 Nights ,12229529.0,2225.0
42 ,27487144.0,3003.0
47 Ronin ,9869000.0,2689.0
5 Days of War ,6254.0,2.0
50 First Dates ,45107871.0,3591.0
54 ,6611532.0,1859.0
8 Mile ,51240555.0,2470.0
88 Minutes ,6957216.0,2168.0
8MM ,14252888.0,2370.0
9 ,10740446.0,1661.0
A Beautiful Mind ,2501096.0,524.0
A Bug's Life ,33258052.0,2686.0
A Christmas Carol ,30051075.0,3683.0
A Cinderella Story ,13623350.0,2625.0
A Civil Action ,15163484.0,1802.0
A Dangerous Method ,167953.0,4.0
A Good Day to Die Hard ,24834845.0,3553.0
A Good Year ,3721526.0,2066.0
A Guy Thing ,8006232.0,2515.0
A History of Violence ,515992.0,14.0
A Knight's Tale ,16511391.0,2980.0
A Lot Like Love ,7576593.0,2502.0
A Madea Christmas ,16000000.0,2194.0
A Man Apart ,11019224.0,2459.0
A Mighty Heart ,3948863.0,1355.0
A Million Ways to Die in the West ,17069000.0,3158.0
A Most Violent Year ,1512224.0,818.0
A Most Wanted Man ,2717000.0,361.0
A Night at the Roxbury ,9604791.0,1865.0
A Perfect Getaway ,5948555.0,2159.0
A Scanner Darkly ,391672.0,
A Simple Plan ,3422072.0,660.0
A Simple Wish ,2732880.0,1676.0
A Sound of Thunder ,1190791.0,816.0
A Thousand Words ,6176280.0,1890.0
A Time to Kill ,19630000.0,2123.0
A Very Harold & Kumar 3D Christmas ,12954142.0,2875.0
